"","date","level","name","classification","i_cases"
"122",2023-01-09,"Department","CENTRAL","CONFIRMADO",306
"123",2023-01-09,"Department","CENTRAL","PROBABLE",0
"124",2023-01-09,"Department","CENTRAL","TOTAL",604
"125",2023-02-02,"Department","CANINDEYU","SOSPECHOSO",10
"126",2023-02-02,"Department","CANINDEYU","CONFIRMADO",2
"127",2023-02-02,"Department","CANINDEYU","PROBABLE",0
"128",2023-02-02,"Department","CANINDEYU","TOTAL",12
"129",2023-02-03,"Department","CENTRAL","SOSPECHOSO",533
"130",2023-02-03,"Department","CENTRAL","CONFIRMADO",399
"131",2023-02-03,"Department","CENTRAL","PROBABLE",0
"132",2023-02-03,"Department","CENTRAL","TOTAL",932
"133",2023-01-30,"Department","CANINDEYU","SOSPECHOSO",9
"134",2023-01-30,"Department","CANINDEYU","CONFIRMADO",2
"135",2023-01-30,"Department","CANINDEYU","PROBABLE",0
"136",2023-01-30,"Department","CANINDEYU","TOTAL",11
"137",2023-01-01,"Department","CENTRAL","SOSPECHOSO",174
"138",2023-01-01,"Department","CENTRAL","CONFIRMADO",212
"139",2023-01-01,"Department","CENTRAL","PROBABLE",17
"140",2023-01-01,"Department","CENTRAL","TOTAL",403
"141",2023-01-31,"Department","CENTRAL","SOSPECHOSO",650
"142",2023-01-31,"Department","CENTRAL","CONFIRMADO",689
"143",2023-01-31,"Department","CENTRAL","PROBABLE",4
"144",2023-01-31,"Department","CENTRAL","TOTAL",1343
"145",2023-01-13,"Department","CENTRAL","SOSPECHOSO",196
"146",2023-01-13,"Department","CENTRAL","CONFIRMADO",360
"147",2023-01-13,"Department","CENTRAL","PROBABLE",0
"148",2023-01-13,"Department","CENTRAL","TOTAL",556
"149",2023-01-27,"Department","ALTO PARAGUAY","SOSPECHOSO",5
"150",2023-01-27,"Department","ALTO PARAGUAY","CONFIRMADO",1
"151",2023-01-27,"Department","ALTO PARAGUAY","PROBABLE",0
"152",2023-01-27,"Department","ALTO PARAGUAY","TOTAL",6
"153",2023-01-05,"Department","CENTRAL","SOSPECHOSO",133
"154",2023-01-05,"Department","CENTRAL","CONFIRMADO",177
"155",2023-01-05,"Department","CENTRAL","PROBABLE",2
"156",2023-01-05,"Department","CENTRAL","TOTAL",312
"157",2023-01-14,"Department","NEEMBUCU","SOSPECHOSO",1
"158",2023-01-14,"Department","NEEMBUCU","CONFIRMADO",1
"159",2023-01-14,"Department","NEEMBUCU","PROBABLE",0
"160",2023-01-14,"Department","NEEMBUCU","TOTAL",2
"161",2023-01-28,"Department","ASUNCION","SOSPECHOSO",78
"162",2023-01-28,"Department","ASUNCION","CONFIRMADO",209
"163",2023-01-28,"Department","ASUNCION","PROBABLE",1
"164",2023-01-28,"Department","ASUNCION","TOTAL",288
"165",2023-01-14,"Department","CENTRAL","SOSPECHOSO",267
"166",2023-01-14,"Department","CENTRAL","CONFIRMADO",339
"167",2023-01-14,"Department","CENTRAL","PROBABLE",0
"168",2023-01-14,"Department","CENTRAL","TOTAL",606
"169",2023-01-26,"Department","CORDILLERA","SOSPECHOSO",3
"170",2023-01-26,"Department","CORDILLERA","CONFIRMADO",26
"171",2023-01-26,"Department","CORDILLERA","PROBABLE",0
"172",2023-01-26,"Department","CORDILLERA","TOTAL",29
"173",2023-01-05,"Department","ASUNCION","SOSPECHOSO",28
"174",2023-01-05,"Department","ASUNCION","CONFIRMADO",92
"175",2023-01-05,"Department","ASUNCION","PROBABLE",2
"176",2023-01-05,"Department","ASUNCION","TOTAL",122
"177",2023-01-27,"Department","ALTO PARANA","SOSPECHOSO",7
"178",2023-01-27,"Department","ALTO PARANA","CONFIRMADO",1
"179",2023-01-27,"Department","ALTO PARANA","PROBABLE",0
"180",2023-01-27,"Department","ALTO PARANA","TOTAL",8
"181",2023-01-08,"Department","CENTRAL","SOSPECHOSO",139
"182",2023-01-08,"Department","CENTRAL","CONFIRMADO",266
"183",2023-01-08,"Department","CENTRAL","PROBABLE",2
"184",2023-01-08,"Department","CENTRAL","TOTAL",407
"185",2023-01-07,"Department","NEEMBUCU","SOSPECHOSO",4
"186",2023-01-07,"Department","NEEMBUCU","CONFIRMADO",0
"187",2023-01-07,"Department","NEEMBUCU","PROBABLE",0
"188",2023-01-07,"Department","NEEMBUCU","TOTAL",4
"189",2023-01-23,"Department","ASUNCION","SOSPECHOSO",83
"190",2023-01-23,"Department","ASUNCION","CONFIRMADO",306
"191",2023-01-23,"Department","ASUNCION","PROBABLE",0
"192",2023-01-23,"Department","ASUNCION","TOTAL",389
"193",2023-01-23,"Department","CAAGUAZU","SOSPECHOSO",9
"194",2023-01-23,"Department","CAAGUAZU","CONFIRMADO",3
"195",2023-01-23,"Department","CAAGUAZU","PROBABLE",0
"196",2023-01-23,"Department","CAAGUAZU","TOTAL",12
"197",2023-01-15,"Department","ASUNCION","SOSPECHOSO",32
"198",2023-01-15,"Department","ASUNCION","CONFIRMADO",151
"199",2023-01-15,"Department","ASUNCION","PROBABLE",5
"200",2023-01-15,"Department","ASUNCION","TOTAL",188
"201",2023-01-25,"Department","PARAGUARI","SOSPECHOSO",16
"202",2023-01-25,"Department","PARAGUARI","CONFIRMADO",10
"203",2023-01-25,"Department","PARAGUARI","PROBABLE",0
"204",2023-01-25,"Department","PARAGUARI","TOTAL",26
"205",2023-01-12,"Department","CORDILLERA","SOSPECHOSO",26
"206",2023-01-12,"Department","CORDILLERA","CONFIRMADO",0
"207",2023-01-12,"Department","CORDILLERA","PROBABLE",0
"208",2023-01-12,"Department","CORDILLERA","TOTAL",26
"209",2023-01-02,"Department","ASUNCION","SOSPECHOSO",46
"210",2023-01-02,"Department","ASUNCION","CONFIRMADO",83
"211",2023-01-02,"Department","ASUNCION","PROBABLE",19
"212",2023-01-02,"Department","ASUNCION","TOTAL",148
"213",2023-01-29,"Department","ASUNCION","SOSPECHOSO",84
"214",2023-01-29,"Department","ASUNCION","CONFIRMADO",271
"215",2023-01-29,"Department","ASUNCION","PROBABLE",3
"216",2023-01-29,"Department","ASUNCION","TOTAL",358
"217",2023-01-01,"Department","ASUNCION","SOSPECHOSO",51
"218",2023-01-01,"Department","ASUNCION","CONFIRMADO",78
"219",2023-01-01,"Department","ASUNCION","PROBABLE",13
"220",2023-01-01,"Department","ASUNCION","TOTAL",142
"221",2023-02-04,"Department","GUAIRA","SOSPECHOSO",18
"222",2023-02-04,"Department","GUAIRA","CONFIRMADO",9
"223",2023-02-04,"Department","GUAIRA","PROBABLE",0
"224",2023-02-04,"Department","GUAIRA","TOTAL",27
"225",2023-01-04,"Department","ASUNCION","SOSPECHOSO",29
"226",2023-01-04,"Department","ASUNCION","CONFIRMADO",97
"227",2023-01-04,"Department","ASUNCION","PROBABLE",8
"228",2023-01-04,"Department","ASUNCION","TOTAL",134
"229",2023-01-16,"Department","CENTRAL","SOSPECHOSO",228
"230",2023-01-16,"Department","CENTRAL","CONFIRMADO",363
"231",2023-01-16,"Department","CENTRAL","PROBABLE",0
"232",2023-01-16,"Department","CENTRAL","TOTAL",591
"233",2023-01-18,"Department","CENTRAL","SOSPECHOSO",274
"234",2023-01-18,"Department","CENTRAL","CONFIRMADO",460
"235",2023-01-18,"Department","CENTRAL","PROBABLE",0
"236",2023-01-18,"Department","CENTRAL","TOTAL",734
"237",2023-01-23,"Department","PARAGUARI","SOSPECHOSO",32
"238",2023-01-23,"Department","PARAGUARI","CONFIRMADO",12
"239",2023-01-23,"Department","PARAGUARI","PROBABLE",0
"240",2023-01-23,"Department","PARAGUARI","TOTAL",44
"241",2023-01-25,"Department","SAN PEDRO","SOSPECHOSO",5
"242",2023-01-25,"Department","SAN PEDRO","CONFIRMADO",2
"243",2023-01-25,"Department","SAN PEDRO","PROBABLE",0
"244",2023-01-25,"Department","SAN PEDRO","TOTAL",7
"245",2023-01-31,"Department","ALTO PARANA","SOSPECHOSO",15
"246",2023-01-31,"Department","ALTO PARANA","CONFIRMADO",0
"247",2023-01-31,"Department","ALTO PARANA","PROBABLE",0
"248",2023-01-31,"Department","ALTO PARANA","TOTAL",15
"249",2023-01-17,"Department","CENTRAL","SOSPECHOSO",258
"250",2023-01-17,"Department","CENTRAL","CONFIRMADO",367
"251",2023-01-17,"Department","CENTRAL","PROBABLE",0
"252",2023-01-17,"Department","CENTRAL","TOTAL",625
"253",2023-01-30,"Department","PTE HAYES","SOSPECHOSO",10
"254",2023-01-30,"Department","PTE HAYES","CONFIRMADO",17
"255",2023-01-30,"Department","PTE HAYES","PROBABLE",0
"256",2023-01-30,"Department","PTE HAYES","TOTAL",27
"257",2023-02-02,"Department","ASUNCION","SOSPECHOSO",108
"258",2023-02-02,"Department","ASUNCION","CONFIRMADO",200
"259",2023-02-02,"Department","ASUNCION","PROBABLE",0
